Callsign nummer; ms; temp1; temp2; temp3; trykk; moh;
CanSat 2100;560986;16,22; 13,05;  14,37;  102152,32;  40,62;
CanSat 2101;561252;16,22; 13,05;  14,37;  102150,21;  40,46;
CanSat 2102;561520;16,22; 13,05;  14,37;  102152,08;  40,47;
CanSat 2103;561785;16,22; 13,54;  14,38;  102153,14;  40,34;
CanSat 2104;562054;16,22; 13,05;  14,38;  102152,63;  40,37;
CanSat 2105;562320;16,22; 13,05;  14,39;  102154,39;  40,44;
CanSat 2106;562587;16,22; 13,05;  14,39;  102158,14;  40,36;
CanSat 2107;562854;16,22; 13,05;  14,39;  102158,07;  40,40;
CanSat 2108;563120;16,22; 13,05;  14,39;  102155,89;  40,41;
CanSat 2109;563388;16,13; 13,05;  14,40;  102153,64;  40,50;
CanSat 2110;563655;16,13; 13,05;  14,40;  102150,52;  40,43;
CanSat 2111;563923;16,13; 13,05;  14,41;  102154,13;  40,38;
CanSat 2112;564191;16,13; 13,05;  14,41;  102152,04;  40,58;
CanSat 2113;564458;16,13; 13,05;  14,41;  102153,00;  40,37;
CanSat 2114;564726;16,04; 13,05;  14,41;  102153,00;  40,44;
CanSat 2115;564994;16,04; 13,05;  14,42;  102155,21;  40,14;
CanSat 2116;565261;16,04; 13,05;  14,42;  102163,53;  39,21;
CanSat 2117;565529;16,04; 13,05;  14,43;  102172,00;  38,99;
CanSat 2118;565796;15,95; 13,05;  14,43;  102181,61;  38,48;
CanSat 2119;566064;15,95; 13,05;  14,44;  102183,94;  36,86;
CanSat 2120;566331;15,95; 13,05;  14,44;  102159,43;  40,18;
CanSat 2121;566598;15,86; 13,05;  14,44;  102152,32;  40,48;
CanSat 2122;566865;15,86; 12,56;  14,44;  102156,75;  40,72;
CanSat 2123;567133;15,77; 13,05;  14,43;  102142,26;  41,63;
CanSat 2124;567400;15,77; 13,05;  14,43;  102137,52;  41,28;
CanSat 2125;567666;15,77; 13,05;  14,42;  102141,39;  41,43;
CanSat 2126;567933;15,68; 13,05;  14,41;  102136,46;  41,92;
CanSat 2127;568201;15,68; 13,05;  14,42;  102132,50;  42,26;
CanSat 2128;568467;15,59; 12,56;  14,42;  102129,72;  42,67;
CanSat 2129;568733;15,59; 13,05;  14,42;  102124,19;  42,88;
CanSat 2130;569000;15,59; 12,56;  14,42;  102120,87;  43,24;
CanSat 2131;569268;15,50; 13,05;  14,43;  102111,38;  43,74;
CanSat 2132;569535;15,50; 13,05;  14,43;  102106,67;  44,41;
CanSat 2133;569802;15,41; 13,05;  14,44;  102101,66;  44,69;
CanSat 2134;570068;15,41; 13,05;  14,44;  102097,86;  44,96;
CanSat 2135;570336;15,41; 13,05;  14,45;  102090,12;  45,67;
CanSat 2136;570602;15,32; 12,56;  14,45;  102081,47;  46,88;
CanSat 2137;570869;15,32; 13,05;  14,45;  102068,13;  47,71;
CanSat 2138;571137;15,24; 13,05;  14,45;  102057,42;  48,31;
CanSat 2139;571404;15,24; 12,56;  14,45;  102051,33;  49,05;
CanSat 2140;571671;15,24; 13,05;  14,45;  102044,69;  49,57;
CanSat 2141;571938;15,15; 13,05;  14,45;  102039,66;  49,92;
CanSat 2142;572207;15,15; 12,56;  14,46;  102032,39;  50,27;
CanSat 2143;572473;15,15; 13,05;  14,46;  102026,35;  50,73;
CanSat 2144;572739;15,06; 13,05;  14,46;  102017,19;  51,72;
CanSat 2145;573005;15,06; 12,56;  14,47;  102014,02;  51,91;
CanSat 2146;573273;15,06; 12,56;  14,47;  102006,85;  52,62;
CanSat 2147;573539;14,97; 13,05;  14,47;  101998,75;  53,04;
CanSat 2148;573805;14,97; 13,05;  14,48;  101992,14;  53,77;
CanSat 2149;574072;14,88; 13,05;  14,47;  101986,07;  54,24;
